region,team_a,seed_a,team_b,seed_b,line_source,spread_a,adj_net_a,adj_net_b,p_a_model,p_b_model,diff_a,n_a,diff_b,n_b,shrunk_adj,p_a_adj,p_b_adj,ev_a,ev_b,ev_pick,ev_pick_value,blitz_a,blitz_b,avg_t10_a,avg_t10_b
East,Duke,1,Siena,16,FanDuel,28.5,42.2,2.4,0.816,0.184,-0.038,34,-0.04,33,0.0,0.816,0.184,0.816,0.874,Siena,0.874,0.206,0.182,303.2,346.5
East,Ohio St.,8,TCU,9,FanDuel,2.5,24.6,20.6,0.533,0.467,0.056,31,-0.096,32,0.047,0.579,0.421,0.579,0.526,Ohio St.,0.579,0.226,0.156,338.8,366.0
East,St. John's,5,Northern Iowa,12,FanDuel,10.5,28.6,11.0,0.634,0.366,-0.007,34,0.123,34,-0.041,0.593,0.407,0.593,1.12,Northern Iowa,1.12,0.353,0.257,295.1,381.4
East,Kansas,4,Cal Baptist,13,FanDuel,14.5,26.8,0.3,0.681,0.319,-0.013,33,-0.004,33,-0.003,0.678,0.322,0.678,1.047,Cal Baptist,1.047,0.182,0.212,354.3,386.1
East,Louisville,6,South Florida,11,FanDuel,5.5,28.6,17.5,0.571,0.429,0.046,32,-0.04,30,0.026,0.597,0.403,0.597,0.906,South Florida,0.906,0.219,0.161,314.5,307.1
East,Michigan St.,3,North Dakota St.,14,FanDuel,15.5,32.0,5.6,0.692,0.308,-0.162,31,0.046,31,-0.063,0.629,0.371,0.629,1.393,North Dakota St.,1.393,0.161,0.176,385.0,318.1
East,UCLA,7,UCF,10,FanDuel,5.5,21.9,13.9,0.571,0.429,-0.045,34,-0.107,32,0.019,0.59,0.41,0.59,0.718,UCF,0.718,0.147,0.156,353.4,350.4
East,UConn,2,Furman,15,FanDuel,20.5,33.5,0.1,0.744,0.256,0.031,33,0.095,31,-0.019,0.725,0.275,0.725,1.168,Furman,1.168,0.182,0.206,318.1,327.9
South,Florida,1,Lehigh,16,adj_net,47.8,39.7,-8.1,0.924,0.076,0.073,33,-0.178,32,0.077,0.95,0.05,0.95,0.238,Florida,0.95,0.364,0.059,283.1,400.4
South,Clemson,8,Iowa,9,FanDuel,-2.5,16.0,24.3,0.467,0.533,0.001,34,0.057,32,-0.017,0.45,0.55,0.45,0.687,Iowa,0.687,0.206,0.094,331.2,383.3
South,Vanderbilt,5,McNeese,12,FanDuel,11.5,32.6,14.0,0.646,0.354,0.13,31,-0.073,31,0.062,0.707,0.293,0.707,0.805,McNeese,0.805,0.355,0.094,289.6,369.7
South,Nebraska,4,Troy,13,FanDuel,13.5,27.0,3.0,0.669,0.331,0.063,32,-0.084,31,0.045,0.714,0.286,0.714,0.93,Troy,0.93,0.188,0.242,357.8,373.6
South,North Carolina,6,VCU,11,FanDuel,2.5,19.3,17.6,0.533,0.467,0.006,30,0.064,34,-0.018,0.514,0.486,0.514,1.093,VCU,1.093,0.233,0.147,305.2,311.2
South,Illinois,3,Penn,14,FanDuel,23.5,36.4,-2.1,0.773,0.227,0.097,31,0.002,28,0.029,0.802,0.198,0.802,0.743,Illinois,0.802,0.161,0.207,303.7,325.0
South,Saint Mary's,7,Texas A&M,10,FanDuel,3.5,22.8,19.3,0.546,0.454,-0.119,29,0.071,31,-0.057,0.489,0.511,0.489,0.895,Texas A&M,0.895,0.2,0.258,344.1,300.4
South,Houston,2,Idaho,15,FanDuel,23.5,35.5,-0.9,0.773,0.227,0.044,34,0.043,32,0.001,0.774,0.226,0.774,0.962,Idaho,0.962,0.412,0.229,332.4,350.8
West,Arizona,1,Long Island University,16,FanDuel,31.5,37.5,-2.7,0.838,0.162,0.017,34,0.063,34,-0.014,0.823,0.177,0.823,0.839,Long Island University,0.839,0.235,0.088,289.8,367.2
West,Villanova,8,Utah St.,9,FanDuel,-2.5,20.4,20.3,0.467,0.533,0.093,32,-0.043,33,0.042,0.509,0.491,0.509,0.613,Utah St.,0.613,0.125,0.235,329.2,335.9
West,Wisconsin,5,High Point,12,FanDuel,10.5,23.7,12.4,0.634,0.366,0.012,33,0.06,31,-0.014,0.619,0.381,0.619,1.048,High Point,1.048,0.242,0.294,335.6,286.1
West,Arkansas,4,Hawaii,13,FanDuel,15.5,32.8,1.9,0.692,0.308,0.031,34,0.018,29,0.004,0.696,0.304,0.696,0.987,Hawaii,0.987,0.176,0.344,294.2,340.5
West,BYU,6,Texas,11,adj_net,1.4,22.6,21.2,0.518,0.482,-0.176,34,-0.148,31,-0.01,0.508,0.492,0.508,1.107,Texas,1.107,0.059,0.125,365.3,354.3
West,Gonzaga,3,Kennesaw St.,14,FanDuel,20.5,31.5,1.7,0.744,0.256,-0.099,33,-0.123,30,0.006,0.751,0.249,0.751,0.936,Kennesaw St.,0.936,0.242,0.182,339.5,347.9
West,Miami (FL),7,Missouri,10,FanDuel,1.5,24.1,17.3,0.52,0.48,-0.024,33,-0.004,32,-0.006,0.513,0.487,0.513,0.852,Missouri,0.852,0.182,0.188,318.8,332.5
West,Purdue,2,Queens University,15,FanDuel,25.5,37.9,2.9,0.791,0.209,0.135,35,-0.059,33,0.061,0.852,0.148,0.852,0.628,Purdue,0.852,0.171,0.176,291.1,337.6
Midwest,Michigan,1,Howard,16,adj_net,45.2,44.9,-0.3,0.914,0.086,-0.054,34,0.016,29,-0.022,0.892,0.108,0.892,0.514,Michigan,0.892,0.324,0.242,306.9,396.8
Midwest,Georgia,8,Saint Louis,9,FanDuel,2.5,23.2,21.3,0.533,0.467,0.022,32,-0.007,32,0.009,0.541,0.459,0.541,0.573,Saint Louis,0.573,0.156,0.273,302.3,316.3
Midwest,Texas Tech,5,Akron,12,FanDuel,7.5,22.0,15.2,0.597,0.403,0.032,32,0.058,32,-0.008,0.589,0.411,0.589,1.131,Akron,1.131,0.281,0.206,280.1,272.6
Midwest,Alabama,4,Hofstra,13,FanDuel,11.5,30.4,8.8,0.646,0.354,0.065,32,0.154,32,-0.027,0.618,0.382,0.618,1.241,Hofstra,1.241,0.188,0.147,276.1,341.7
Midwest,Tennessee,6,SMU,11,adj_net,10.1,29.9,19.8,0.629,0.371,0.114,33,0.039,33,0.023,0.652,0.348,0.652,0.783,SMU,0.783,0.121,0.242,333.2,303.9
Midwest,Virginia,3,Wright St.,14,FanDuel,18.5,29.7,3.6,0.724,0.276,0.055,34,0.214,32,-0.049,0.676,0.324,0.676,1.217,Wright St.,1.217,0.324,0.176,331.2,298.7
Midwest,Kentucky,7,Santa Clara,10,FanDuel,3.5,25.5,19.9,0.546,0.454,-0.057,34,0.143,33,-0.062,0.483,0.517,0.483,0.905,Santa Clara,0.905,0.176,0.176,357.1,320.7
Midwest,Iowa St.,2,Tennessee St.,15,FanDuel,24.5,36.0,-0.7,0.782,0.218,0.023,34,0.085,29,-0.018,0.764,0.236,0.764,1.002,Tennessee St.,1.002,0.294,0.062,334.4,373.3
