game_id,team,foul_kind,shot_type,x,y,dist,season
1022500001,ATL,shooting,3pt,-2,243,24,2025_full
1022500001,ATL,shooting,3pt,213,213,30,2025_full
1022500001,WAS,and_one,at_rim,-29,18,3,2025_full
1022500001,ATL,and_one,at_rim,-21,17,3,2025_full
1022500001,WAS,shooting,3pt,-197,141,24,2025_full
1022500001,ATL,and_one,at_rim,-10,23,3,2025_full
1022500001,ATL,and_one,at_rim,-10,9,1,2025_full
1022500001,WAS,shooting,at_rim,-34,-17,4,2025_full
1022500001,ATL,and_one,midrange,-50,15,5,2025_full
1022500002,MIN,and_one,at_rim,-5,31,3,2025_full
1022500002,MIN,and_one,at_rim,-9,31,3,2025_full
1022500002,MIN,and_one,midrange,-37,45,6,2025_full
1022500002,MIN,and_one,at_rim,6,30,3,2025_full
1022500002,DAL,shooting,midrange,115,162,20,2025_full
1022500002,MIN,shooting,midrange,31,42,5,2025_full
1022500002,DAL,shooting,midrange,-60,165,18,2025_full
1022500003,GSV,shooting,3pt,-39,244,25,2025_full
1022500003,LAS,and_one,midrange,44,68,8,2025_full
1022500003,GSV,and_one,at_rim,0,-6,1,2025_full
1022500003,GSV,shooting,at_rim,0,-6,1,2025_full
1022500004,IND,and_one,at_rim,-17,5,2,2025_full
1022500004,IND,shooting,at_rim,-11,9,1,2025_full
1022500004,IND,shooting,midrange,-17,54,6,2025_full
1022500005,LVA,shooting,midrange,-42,40,6,2025_full
1022500005,LVA,and_one,at_rim,19,25,3,2025_full
1022500005,LVA,and_one,midrange,-12,47,5,2025_full
1022500005,NYL,and_one,at_rim,-24,9,3,2025_full
1022500005,NYL,and_one,midrange,-56,1,6,2025_full
1022500005,LVA,and_one,at_rim,-29,10,3,2025_full
1022500005,LVA,and_one,at_rim,-17,16,2,2025_full
1022500005,LVA,and_one,at_rim,32,27,4,2025_full
1022500005,NYL,and_one,at_rim,16,17,2,2025_full
1022500005,NYL,and_one,at_rim,16,17,2,2025_full
1022500005,NYL,and_one,midrange,43,104,11,2025_full
1022500005,LVA,shooting,at_rim,11,10,1,2025_full
1022500006,PHX,shooting,3pt,-154,194,25,2025_full
1022500006,SEA,shooting,at_rim,-31,28,4,2025_full
1022500006,PHX,and_one,at_rim,-41,5,4,2025_full
1022500006,SEA,and_one,at_rim,28,34,4,2025_full
1022500006,PHX,shooting,midrange,134,129,19,2025_full
1022500006,PHX,shooting,3pt,232,25,0,2025_full
1022500006,PHX,and_one,midrange,6,61,6,2025_full
1022500007,WAS,shooting,midrange,-138,18,14,2025_full
1022500007,WAS,and_one,at_rim,5,9,1,2025_full
1022500007,WAS,shooting,at_rim,5,9,1,2025_full
1022500007,WAS,and_one,at_rim,20,20,3,2025_full
1022500007,WAS,and_one,at_rim,-7,9,1,2025_full
1022500007,CON,and_one,at_rim,-6,11,1,2025_full
1022500007,CON,and_one,midrange,-62,33,7,2025_full
1022500007,CON,shooting,at_rim,17,20,3,2025_full
1022500007,WAS,shooting,at_rim,-9,12,2,2025_full
1022500007,WAS,and_one,at_rim,-3,11,1,2025_full
1022500007,CON,and_one,at_rim,9,15,2,2025_full
1022500007,WAS,and_one,at_rim,10,12,2,2025_full
1022500008,LAS,and_one,midrange,-24,40,5,2025_full
1022500008,MIN,and_one,midrange,-34,31,5,2025_full
1022500008,MIN,and_one,at_rim,-18,33,4,2025_full
1022500009,SEA,and_one,midrange,77,13,8,2025_full
1022500009,DAL,and_one,at_rim,7,40,4,2025_full
1022500009,DAL,and_one,at_rim,21,22,3,2025_full
1022500009,SEA,and_one,midrange,57,65,9,2025_full
1022500009,DAL,shooting,at_rim,22,25,3,2025_full
1022500009,DAL,shooting,midrange,-150,40,16,2025_full
1022500010,LVA,shooting,at_rim,-4,8,1,2025_full
1022500010,LVA,shooting,at_rim,-9,7,1,2025_full
1022500010,LVA,and_one,at_rim,-27,6,3,2025_full
1022500010,LVA,shooting,midrange,91,94,13,2025_full
1022500010,CON,shooting,3pt,-152,206,26,2025_full
1022500010,LVA,shooting,at_rim,18,17,2,2025_full
1022500010,CON,and_one,at_rim,8,2,1,2025_full
1022500011,ATL,and_one,at_rim,-3,33,3,2025_full
1022500011,ATL,shooting,at_rim,1,14,1,2025_full
1022500011,IND,and_one,at_rim,-5,11,1,2025_full
1022500011,IND,and_one,at_rim,0,-7,1,2025_full
1022500011,IND,and_one,at_rim,-6,13,1,2025_full
1022500011,ATL,shooting,3pt,190,205,28,2025_full
1022500012,DAL,and_one,midrange,70,173,19,2025_full
1022500012,MIN,shooting,3pt,203,120,24,2025_full
1022500012,DAL,shooting,at_rim,18,4,2,2025_full
1022500012,MIN,shooting,at_rim,18,6,2,2025_full
1022500012,DAL,and_one,at_rim,15,9,2,2025_full
1022500012,DAL,shooting,at_rim,15,9,2,2025_full
1022500013,WAS,and_one,midrange,15,56,6,2025_full
1022500013,WAS,and_one,at_rim,-24,32,4,2025_full
1022500013,WAS,shooting,midrange,54,102,12,2025_full
1022500013,GSV,and_one,midrange,4,61,6,2025_full
1022500013,WAS,and_one,midrange,32,34,5,2025_full
1022500013,WAS,shooting,midrange,50,71,9,2025_full
1022500013,GSV,and_one,3pt,-229,36,0,2025_full
1022500013,WAS,and_one,at_rim,41,-7,4,2025_full
1022500014,PHX,shooting,at_rim,-10,-3,1,2025_full
1022500014,LAS,and_one,at_rim,11,-2,1,2025_full
1022500014,LAS,shooting,at_rim,19,6,2,2025_full
1022500014,PHX,shooting,midrange,-40,61,7,2025_full
1022500014,LAS,shooting,3pt,-223,11,0,2025_full
1022500014,LAS,and_one,at_rim,0,-6,1,2025_full
1022500014,LAS,and_one,midrange,-44,38,6,2025_full
1022500014,LAS,shooting,at_rim,-8,16,2,2025_full
1022500014,PHX,shooting,3pt,-150,205,25,2025_full
1022500014,LAS,and_one,at_rim,-11,22,2,2025_full
1022500014,LAS,and_one,at_rim,-5,6,1,2025_full
1022500014,LAS,shooting,at_rim,-9,11,1,2025_full
1022500014,LAS,shooting,3pt,-217,151,26,2025_full
1022500015,ATL,shooting,3pt,-6,343,34,2025_full
1022500015,ATL,shooting,at_rim,-23,22,3,2025_full
1022500016,NYL,shooting,at_rim,17,18,2,2025_full
1022500016,NYL,shooting,at_rim,-20,2,2,2025_full
1022500016,CHI,and_one,at_rim,-10,8,1,2025_full
1022500016,CHI,shooting,at_rim,-22,15,3,2025_full
1022500016,NYL,and_one,at_rim,7,9,1,2025_full
1022500017,MIN,shooting,at_rim,16,23,3,2025_full
1022500017,CON,shooting,3pt,-2,244,24,2025_full
1022500017,MIN,and_one,at_rim,-24,1,2,2025_full
1022500017,MIN,and_one,midrange,-28,62,7,2025_full
1022500017,CON,and_one,at_rim,26,12,3,2025_full
1022500018,LVA,and_one,3pt,229,74,24,2025_full
1022500018,LVA,shooting,at_rim,37,22,4,2025_full
1022500018,WAS,and_one,midrange,41,24,5,2025_full
1022500019,GSV,and_one,midrange,9,61,6,2025_full
1022500019,LAS,shooting,3pt,235,27,24,2025_full
1022500019,LAS,and_one,at_rim,-23,10,3,2025_full
1022500019,LAS,shooting,at_rim,-6,6,1,2025_full
1022500020,SEA,and_one,at_rim,-44,7,4,2025_full
1022500020,SEA,and_one,midrange,40,68,8,2025_full
1022500020,PHX,and_one,at_rim,13,36,4,2025_full
1022500020,PHX,and_one,at_rim,-4,12,1,2025_full
1022500020,PHX,and_one,at_rim,-13,0,1,2025_full
1022500020,PHX,shooting,3pt,-12,241,24,2025_full
1022500020,SEA,shooting,midrange,1,56,6,2025_full
1022500021,NYL,and_one,at_rim,-8,1,1,2025_full
1022500021,IND,and_one,at_rim,-3,4,1,2025_full
1022500021,IND,and_one,at_rim,17,23,3,2025_full
1022500021,IND,shooting,at_rim,-5,7,1,2025_full
1022500021,NYL,and_one,at_rim,4,-6,1,2025_full
1022500021,IND,shooting,at_rim,-1,18,2,2025_full
1022500021,NYL,shooting,3pt,-215,153,26,2025_full
1022500021,IND,and_one,3pt,29,244,25,2025_full
1022500021,NYL,shooting,midrange,-53,133,14,2025_full
1022500021,NYL,shooting,midrange,-148,74,17,2025_full
1022500021,IND,shooting,at_rim,-4,-10,1,2025_full
1022500022,DAL,shooting,midrange,-26,161,16,2025_full
1022500022,DAL,and_one,3pt,112,220,25,2025_full
1022500022,ATL,and_one,at_rim,-1,9,1,2025_full
1022500022,ATL,shooting,3pt,212,106,24,2025_full
1022500022,DAL,shooting,midrange,-131,141,19,2025_full
1022500022,ATL,shooting,3pt,-154,190,24,2025_full
1022500023,ATL,and_one,midrange,-33,36,5,2025_full
1022500023,ATL,and_one,midrange,-10,123,12,2025_full
1022500023,CON,and_one,at_rim,11,22,2,2025_full
1022500023,CON,shooting,3pt,73,235,25,2025_full
1022500023,ATL,shooting,at_rim,1,13,1,2025_full
1022500023,ATL,and_one,at_rim,-24,29,4,2025_full
1022500023,CON,and_one,at_rim,-23,11,3,2025_full
1022500023,ATL,and_one,at_rim,1,22,2,2025_full
1022500024,LAS,shooting,3pt,-163,191,25,2025_full
1022500024,LAS,and_one,at_rim,8,13,2,2025_full
1022500024,LAS,shooting,3pt,235,15,24,2025_full
1022500024,LAS,shooting,at_rim,7,44,4,2025_full
1022500024,CHI,and_one,at_rim,-24,-9,3,2025_full
1022500024,CHI,shooting,at_rim,22,12,3,2025_full
1022500024,LAS,shooting,midrange,-2,58,6,2025_full
1022500025,WAS,shooting,at_rim,23,21,3,2025_full
1022500025,WAS,and_one,midrange,-30,113,12,2025_full
1022500025,PHX,and_one,at_rim,-25,26,4,2025_full
1022500025,PHX,shooting,at_rim,-25,26,4,2025_full
1022500026,LVA,and_one,midrange,-56,43,7,2025_full
1022500026,SEA,shooting,3pt,139,203,25,2025_full
1022500026,LVA,shooting,at_rim,-33,28,4,2025_full
1022500026,LVA,shooting,midrange,26,87,9,2025_full
1022500026,SEA,shooting,midrange,43,25,5,2025_full
1022500026,LVA,and_one,at_rim,-3,9,1,2025_full
1022500026,SEA,shooting,midrange,3,120,12,2025_full
1022500027,DAL,and_one,at_rim,17,24,3,2025_full
1022500027,CON,shooting,at_rim,-22,9,2,2025_full
1022500027,DAL,and_one,at_rim,-22,24,3,2025_full
1022500027,DAL,shooting,3pt,234,-5,0,2025_full
1022500027,CON,and_one,midrange,-128,7,13,2025_full
1022500027,CON,and_one,at_rim,28,20,3,2025_full
1022500027,DAL,shooting,at_rim,-7,32,3,2025_full
1022500027,DAL,shooting,midrange,38,48,6,2025_full
1022500027,CON,and_one,at_rim,26,-2,3,2025_full
1022500027,DAL,shooting,3pt,-205,150,25,2025_full
1022500027,DAL,shooting,at_rim,-1,20,2,2025_full
1022500027,CON,and_one,at_rim,1,25,3,2025_full
1022500028,NYL,shooting,midrange,-10,64,6,2025_full
1022500028,NYL,and_one,midrange,-40,27,5,2025_full
1022500028,GSV,and_one,at_rim,12,25,3,2025_full
1022500028,NYL,shooting,at_rim,23,22,3,2025_full
1022500028,NYL,shooting,at_rim,-32,18,4,2025_full
1022500028,GSV,and_one,at_rim,22,38,4,2025_full
1022500028,GSV,shooting,3pt,-119,247,27,2025_full
1022500028,NYL,shooting,at_rim,21,13,2,2025_full
1022500028,GSV,shooting,at_rim,-13,38,4,2025_full
1022500029,MIN,and_one,3pt,216,73,0,2025_full
1022500029,SEA,shooting,midrange,46,24,5,2025_full
1022500029,MIN,and_one,at_rim,16,11,2,2025_full
1022500029,SEA,and_one,at_rim,15,14,2,2025_full
1022500029,SEA,shooting,3pt,-155,181,24,2025_full
1022500030,ATL,and_one,midrange,-8,64,6,2025_full
1022500030,LAS,and_one,at_rim,-20,33,4,2025_full
1022500030,ATL,and_one,at_rim,-6,39,4,2025_full
1022500030,LAS,and_one,midrange,-47,34,6,2025_full
1022500030,LAS,and_one,midrange,-32,36,5,2025_full
1022500030,LAS,shooting,at_rim,20,34,4,2025_full
1022500030,LAS,shooting,3pt,94,262,28,2025_full
1022500031,CHI,and_one,at_rim,12,-3,1,2025_full
1022500031,PHX,and_one,midrange,70,157,17,2025_full
1022500031,PHX,shooting,at_rim,-7,39,4,2025_full
1022500031,CHI,and_one,at_rim,5,4,1,2025_full
1022500031,PHX,and_one,midrange,33,31,5,2025_full
1022500031,CHI,shooting,at_rim,32,21,4,2025_full
1022500032,IND,and_one,at_rim,-30,-7,3,2025_full
1022500032,WAS,and_one,at_rim,19,15,2,2025_full
1022500032,IND,shooting,midrange,-95,187,21,2025_full
1022500032,WAS,shooting,midrange,-17,177,18,2025_full
1022500032,IND,and_one,at_rim,29,2,3,2025_full
1022500032,WAS,and_one,at_rim,1,10,1,2025_full
1022500033,NYL,shooting,midrange,-58,23,6,2025_full
1022500033,NYL,and_one,midrange,-69,7,7,2025_full
1022500033,GSV,shooting,midrange,151,132,20,2025_full
1022500033,NYL,shooting,3pt,15,248,25,2025_full
1022500033,NYL,and_one,at_rim,21,17,3,2025_full
1022500033,GSV,and_one,midrange,-72,36,8,2025_full
1022500033,NYL,and_one,midrange,24,74,8,2025_full
1022500033,GSV,and_one,midrange,-47,75,9,2025_full
1022500034,CHI,shooting,at_rim,23,16,3,2025_full
1022500034,DAL,and_one,midrange,37,26,5,2025_full
1022500034,DAL,shooting,at_rim,-6,10,1,2025_full
1022500034,CHI,shooting,midrange,-38,49,6,2025_full
1022500034,CHI,shooting,midrange,28,54,6,2025_full
1022500034,DAL,shooting,at_rim,21,13,2,2025_full
1022500034,CHI,shooting,midrange,-38,65,8,2025_full
1022500034,DAL,shooting,3pt,-123,213,25,2025_full
1022500035,CON,shooting,at_rim,-36,5,4,2025_full
1022500035,CON,shooting,at_rim,20,17,3,2025_full
1022500035,CON,and_one,at_rim,21,12,2,2025_full
1022500035,CON,and_one,midrange,39,106,11,2025_full
1022500035,IND,shooting,midrange,65,181,19,2025_full
1022500035,CON,and_one,at_rim,18,17,2,2025_full
1022500036,NYL,shooting,3pt,200,138,24,2025_full
1022500036,WAS,shooting,at_rim,-21,1,2,2025_full
1022500036,WAS,and_one,at_rim,-11,9,1,2025_full
1022500036,NYL,shooting,at_rim,26,15,3,2025_full
1022500036,NYL,and_one,midrange,73,113,13,2025_full
1022500036,WAS,and_one,at_rim,-24,25,3,2025_full
1022500036,NYL,shooting,3pt,-11,299,30,2025_full
1022500037,LVA,shooting,at_rim,26,25,4,2025_full
1022500037,LAS,and_one,midrange,45,31,5,2025_full
1022500037,LVA,and_one,3pt,-233,1,0,2025_full
1022500037,LVA,shooting,midrange,-54,26,6,2025_full
1022500037,LAS,shooting,3pt,230,9,0,2025_full
1022500037,LVA,and_one,at_rim,-26,10,3,2025_full
1022500037,LVA,and_one,at_rim,-16,6,2,2025_full
1022500038,MIN,shooting,midrange,-23,111,11,2025_full
1022500038,MIN,shooting,3pt,-155,189,24,2025_full
1022500038,MIN,shooting,3pt,174,170,24,2025_full
1022500038,MIN,shooting,at_rim,7,6,1,2025_full
1022500039,SEA,and_one,at_rim,-11,14,2,2025_full
1022500039,SEA,and_one,midrange,13,97,10,2025_full
1022500039,ATL,shooting,3pt,117,253,28,2025_full
1022500039,SEA,and_one,at_rim,-18,6,2,2025_full
1022500039,ATL,and_one,midrange,69,67,10,2025_full
1022500039,ATL,and_one,midrange,38,86,9,2025_full
1022500039,SEA,and_one,at_rim,-29,-3,3,2025_full
1022500039,ATL,and_one,midrange,38,28,5,2025_full
1022500039,ATL,and_one,midrange,90,142,17,2025_full
1022500039,ATL,and_one,midrange,-33,68,8,2025_full
1022500039,ATL,and_one,at_rim,34,13,4,2025_full
1022500039,ATL,and_one,midrange,-44,50,7,2025_full
1022500039,ATL,shooting,3pt,147,212,26,2025_full
1022500039,SEA,shooting,midrange,40,108,12,2025_full
1022500040,DAL,and_one,at_rim,-33,29,4,2025_full
1022500040,CHI,shooting,midrange,26,40,5,2025_full
1022500040,CHI,shooting,3pt,-163,246,30,2025_full
1022500040,DAL,and_one,at_rim,0,-6,1,2025_full
1022500040,CHI,and_one,midrange,-6,47,5,2025_full
1022500040,DAL,and_one,midrange,1,97,10,2025_full
1022500040,DAL,shooting,3pt,230,18,0,2025_full
1022500041,CON,shooting,3pt,1,237,24,2025_full
1022500041,NYL,and_one,at_rim,-33,4,3,2025_full
1022500041,CON,and_one,at_rim,-23,27,4,2025_full
1022500042,PHX,shooting,3pt,210,94,0,2025_full
1022500042,LAS,and_one,at_rim,26,26,4,2025_full
1022500042,LAS,and_one,at_rim,0,-6,1,2025_full
1022500042,PHX,shooting,midrange,-46,82,9,2025_full
1022500042,LAS,shooting,at_rim,16,19,2,2025_full
1022500042,PHX,and_one,at_rim,4,9,1,2025_full
1022500042,LAS,and_one,midrange,-5,65,7,2025_full
1022500042,LAS,and_one,at_rim,0,-6,1,2025_full
1022500042,LAS,shooting,3pt,-1,243,24,2025_full
1022500043,LVA,and_one,midrange,5,80,8,2025_full
1022500043,LVA,and_one,midrange,-88,71,11,2025_full
1022500043,SEA,and_one,midrange,-43,63,8,2025_full
1022500043,LVA,and_one,midrange,27,84,9,2025_full
1022500043,SEA,shooting,at_rim,-28,15,3,2025_full
1022500043,LVA,shooting,3pt,190,159,25,2025_full
1022500043,LVA,and_one,midrange,27,54,6,2025_full
1022500044,GSV,and_one,midrange,45,38,6,2025_full
1022500044,MIN,and_one,midrange,-26,123,13,2025_full
1022500044,MIN,shooting,at_rim,-16,29,3,2025_full
1022500044,GSV,shooting,3pt,128,242,27,2025_full
1022500044,MIN,shooting,at_rim,26,16,3,2025_full
1022500044,MIN,and_one,3pt,-87,228,24,2025_full
1022500044,MIN,and_one,midrange,41,61,7,2025_full
1022500044,MIN,and_one,midrange,-93,25,10,2025_full
1022500045,WAS,shooting,at_rim,-28,11,3,2025_full
1022500045,WAS,and_one,midrange,1,60,6,2025_full
1022500045,IND,shooting,3pt,233,-6,0,2025_full
1022500045,WAS,and_one,at_rim,21,24,3,2025_full
1022500045,IND,and_one,at_rim,18,10,2,2025_full
1022500046,PHX,shooting,3pt,168,167,24,2025_full
1022500046,PHX,and_one,at_rim,2,15,2,2025_full
1022500046,MIN,and_one,midrange,36,53,6,2025_full
1022500047,SEA,and_one,at_rim,24,8,3,2025_full
1022500047,DAL,and_one,midrange,70,25,7,2025_full
1022500047,DAL,shooting,midrange,57,15,6,2025_full
1022500047,SEA,shooting,midrange,50,-3,5,2025_full
1022500047,SEA,and_one,at_rim,-11,1,1,2025_full
1022500047,DAL,and_one,at_rim,19,22,3,2025_full
1022500047,DAL,shooting,at_rim,23,4,2,2025_full
1022500048,WAS,and_one,at_rim,-27,-5,3,2025_full
1022500048,NYL,shooting,3pt,-112,248,27,2025_full
1022500048,WAS,and_one,at_rim,-39,21,4,2025_full
1022500048,NYL,and_one,at_rim,26,25,4,2025_full
1022500048,WAS,and_one,at_rim,-11,17,2,2025_full
1022500048,WAS,and_one,at_rim,17,4,2,2025_full
1022500048,NYL,and_one,at_rim,23,-4,2,2025_full
1022500048,WAS,shooting,midrange,-16,93,9,2025_full
1022500049,GSV,and_one,3pt,236,60,24,2025_full
1022500049,GSV,and_one,at_rim,-26,10,3,2025_full
1022500049,PHX,shooting,at_rim,-4,28,3,2025_full
1022500049,GSV,and_one,midrange,21,40,5,2025_full
1022500049,PHX,shooting,3pt,81,229,24,2025_full
1022500049,PHX,shooting,midrange,-106,156,19,2025_full
1022500049,GSV,shooting,midrange,10,113,11,2025_full
1022500049,PHX,and_one,at_rim,7,27,3,2025_full
1022500049,GSV,shooting,3pt,-97,230,25,2025_full
1022500049,PHX,and_one,midrange,28,39,5,2025_full
1022500050,ATL,shooting,at_rim,-5,4,1,2025_full
1022500050,CON,shooting,midrange,-77,126,15,2025_full
1022500050,CON,shooting,midrange,40,36,5,2025_full
1022500050,ATL,and_one,at_rim,31,20,4,2025_full
1022500050,ATL,shooting,3pt,229,39,0,2025_full
1022500050,CON,shooting,at_rim,15,4,2,2025_full
1022500050,ATL,shooting,midrange,166,99,19,2025_full
1022500051,LAS,and_one,at_rim,4,0,0,2025_full
1022500051,DAL,and_one,at_rim,4,28,3,2025_full
1022500051,DAL,and_one,at_rim,-15,29,3,2025_full
1022500051,LAS,and_one,at_rim,-11,2,1,2025_full
1022500051,LAS,and_one,midrange,-5,45,5,2025_full
1022500051,LAS,shooting,at_rim,15,29,3,2025_full
1022500051,LAS,and_one,midrange,57,95,11,2025_full
1022500051,LAS,and_one,at_rim,-1,39,4,2025_full
1022500051,DAL,and_one,at_rim,-17,-1,2,2025_full
1022500052,GSV,shooting,at_rim,0,-6,1,2025_full
1022500052,LVA,shooting,3pt,-218,92,24,2025_full
1022500052,GSV,and_one,at_rim,-26,35,4,2025_full
1022500052,LVA,and_one,midrange,6,50,5,2025_full
1022500052,GSV,shooting,at_rim,-10,14,2,2025_full
1022500053,IND,shooting,midrange,50,205,21,2025_full
1022500053,CHI,shooting,at_rim,18,16,2,2025_full
1022500053,IND,and_one,at_rim,6,15,2,2025_full
1022500053,IND,and_one,at_rim,10,15,2,2025_full
1022500053,IND,shooting,at_rim,10,15,2,2025_full
1022500053,IND,and_one,3pt,-147,209,26,2025_full
1022500053,CHI,and_one,at_rim,13,15,2,2025_full
1022500053,IND,and_one,at_rim,15,17,2,2025_full
1022500054,PHX,and_one,at_rim,9,16,2,2025_full
1022500054,SEA,and_one,at_rim,8,8,1,2025_full
1022500054,SEA,shooting,at_rim,10,12,2,2025_full
1022500054,PHX,shooting,midrange,-1,94,9,2025_full
1022500055,CON,and_one,at_rim,22,19,3,2025_full
1022500055,WAS,and_one,at_rim,-18,5,2,2025_full
1022500055,CON,and_one,midrange,-1,68,7,2025_full
1022500055,WAS,shooting,3pt,213,155,26,2025_full
1022500055,WAS,and_one,at_rim,0,23,2,2025_full
1022500055,WAS,and_one,at_rim,16,-14,2,2025_full
1022500055,CON,shooting,midrange,99,121,16,2025_full
1022500055,WAS,and_one,midrange,77,5,8,2025_full
1022500055,CON,shooting,midrange,63,8,6,2025_full
1022500055,WAS,shooting,3pt,144,213,26,2025_full
1022500055,WAS,shooting,3pt,-198,157,25,2025_full
1022500055,WAS,and_one,midrange,12,51,5,2025_full
1022500056,MIN,and_one,3pt,223,1,0,2025_full
1022500056,DAL,and_one,midrange,20,139,14,2025_full
1022500056,DAL,shooting,at_rim,22,17,3,2025_full
1022500056,DAL,shooting,midrange,-135,140,19,2025_full
1022500056,DAL,shooting,3pt,-13,262,26,2025_full
1022500056,DAL,and_one,at_rim,24,25,3,2025_full
1022500057,GSV,shooting,midrange,-22,50,5,2025_full
1022500057,GSV,and_one,midrange,39,37,5,2025_full
1022500057,GSV,and_one,at_rim,0,-6,1,2025_full
1022500057,LAS,shooting,midrange,-30,58,7,2025_full
1022500057,LAS,and_one,at_rim,35,23,4,2025_full
1022500058,ATL,shooting,at_rim,-15,16,2,2025_full
1022500058,ATL,and_one,at_rim,-10,11,1,2025_full
1022500058,ATL,and_one,at_rim,11,20,2,2025_full
1022500058,IND,shooting,midrange,7,106,11,2025_full
1022500058,ATL,shooting,at_rim,-5,39,4,2025_full
1022500059,NYL,and_one,at_rim,31,6,3,2025_full
1022500059,NYL,and_one,midrange,68,39,8,2025_full
1022500059,NYL,and_one,midrange,-1,76,8,2025_full
1022500059,CHI,and_one,midrange,45,24,5,2025_full
